RowIndex,Reason,OriginalLine
94,IBI out of range,Row 94 | Timestamp: 1712016479991 ms | PPG(Green=2184140, Red=2184140, Ir=2184140) | ACC(X=1.79150199890137, Y=0.878985643386841, Z=9.63770580291748) | HR=86 bpm | IBI=0 ms | Participant=P15
95,IBI out of range,Row 95 | Timestamp: 1712016480031 ms | PPG(Green=2185500, Red=2185500, Ir=2185500) | ACC(X=1.8537734746933, Y=0.790368556976318, Z=9.5562744140625) | HR=87 bpm | IBI=0 ms | Participant=P15
96,IBI out of range,Row 96 | Timestamp: 1712016480071 ms | PPG(Green=2186873, Red=2186873, Ir=2186873) | ACC(X=1.6669590473175, Y=0.862220227718353, Z=9.67123699188232) | HR=86 bpm | IBI=0 ms | Participant=P15
97,IBI out of range,Row 97 | Timestamp: 1712016480111 ms | PPG(Green=2188286, Red=2188286, Ir=2188286) | ACC(X=1.79868721961975, Y=0.838269650936127, Z=9.66884136199951) | HR=86 bpm | IBI=0 ms | Participant=P15
98,IBI out of range,Row 98 | Timestamp: 1712016480151 ms | PPG(Green=2188802, Red=2188802, Ir=2188802) | ACC(X=1.73162567615509, Y=0.802343845367432, Z=9.66644668579102) | HR=86 bpm | IBI=0 ms | Participant=P15
99,IBI out of range,Row 99 | Timestamp: 1712016480192 ms | PPG(Green=2187853, Red=2187853, Ir=2187853) | ACC(X=1.62863826751709, Y=0.871800422668457, Z=9.87960720062256) | HR=86 bpm | IBI=0 ms | Participant=P15
100,IBI out of range,Row 100 | Timestamp: 1712016480231 ms | PPG(Green=2186604, Red=2186604, Ir=2186604) | ACC(X=1.68372452259064, Y=0.790368556976318, Z=9.77422428131104) | HR=86 bpm | IBI=0 ms | Participant=P15
101,IBI out of range,Row 101 | Timestamp: 1712016480271 ms | PPG(Green=2186514, Red=2186514, Ir=2186514) | ACC(X=1.65737891197205, Y=0.826294362545013, Z=9.7526683807373) | HR=86 bpm | IBI=0 ms | Participant=P15
102,IBI out of range,Row 102 | Timestamp: 1712016480311 ms | PPG(Green=2186857, Red=2186857, Ir=2186857) | ACC(X=1.6669590473175, Y=0.814319133758545, Z=9.75027370452881) | HR=87 bpm | IBI=0 ms | Participant=P15
103,IBI out of range,Row 103 | Timestamp: 1712016480351 ms | PPG(Green=2187744, Red=2187744, Ir=2187744) | ACC(X=1.81305754184723, Y=0.819109201431274, Z=9.82931041717529) | HR=87 bpm | IBI=0 ms | Participant=P15
104,IBI out of range,Row 104 | Timestamp: 1712016480392 ms | PPG(Green=2189061, Red=2189061, Ir=2189061) | ACC(X=1.74360084533691, Y=0.728097081184387, Z=9.70237255096436) | HR=88 bpm | IBI=0 ms | Participant=P15
105,IBI out of range,Row 105 | Timestamp: 1712016480431 ms | PPG(Green=2190559, Red=2190559, Ir=2190559) | ACC(X=1.67174923419952, Y=0.725702047348022, Z=9.72871780395508) | HR=88 bpm | IBI=0 ms | Participant=P15
