phoneTimestamp,sensorTimestamp,ecg
1712091647885,599618676725021334,-98
1712091647893,599618676732681352,-125
1712091647901,599618676740341370,-125
1712091647908,599618676748001388,-116
1712091647916,599618676755661406,-116
1712091647924,599618676763321424,-109
1712091647931,599618676770981442,-91
1712091647939,599618676778641460,-71
1712091647947,599618676786301478,-87
1712091647953,599618676793961496,-137
1712091647961,599618676801621514,-139
1712091647969,599618676809281532,-91
1712091647977,599618676816941550,-59
1712091647985,599618676824601568,-38
1712091647993,599618676832261586,-20
1712091648000,599618676839921604,-32
1712091648008,599618676847581622,-43
1712091648016,599618676855241640,-20
1712091648023,599618676862901658,16
1712091648031,599618676870561676,34
1712091648039,599618676878221694,38
1712091648046,599618676885881712,0
1712091648054,599618676893541730,-54
1712091648062,599618676901201748,-34
1712091648069,599618676908861766,11
1712091648077,599618676916521784,4
1712091648085,599618676924181802,0
1712091648092,599618676931841820,-2
1712091648100,599618676939501838,-41
1712091648108,599618676947161856,-54
1712091648115,599618676954821874,-18
1712091648123,599618676962481892,9
1712091648131,599618676970141910,-9
1712091648137,599618676977801928,-66
1712091648145,599618676985461946,-125
1712091648153,599618676993121964,-132
1712091648161,599618677000781982,-57
1712091648169,599618677008442000,96
1712091648176,599618677016102018,297
1712091648184,599618677023762036,469
1712091648192,599618677031422054,371
1712091648199,599618677039082072,-224
1712091648207,599618677046742090,-723
1712091648215,599618677054402108,-375
1712091648222,599618677062062126,128
1712091648230,599618677069722144,84
1712091648238,599618677077382162,-16
1712091648245,599618677085042180,52
1712091648253,599618677092702198,20
1712091648261,599618677100362216,-71
1712091648268,599618677108022234,-45
1712091648276,599618677115682252,0
1712091648284,599618677123342270,-52
1712091648291,599618677131002288,-121
1712091648299,599618677138662306,-123
1712091648307,599618677146322324,-77
1712091648313,599618677153982342,-64
1712091648321,599618677161642360,-87
1712091648329,599618677169302378,-82
1712091648337,599618677176962396,-66
1712091648345,599618677184622414,-57
1712091648353,599618677192282432,-25
1712091648360,599618677199942450,18
1712091648368,599618677207602468,36
1712091648376,599618677215262486,18
1712091648383,599618677222922504,-13
1712091648391,599618677230582522,-6
1712091648399,599618677238242540,41
1712091648406,599618677245902558,84
1712091648414,599618677253562576,109
1712091648422,599618677261222594,125
1712091648429,599618677268882612,142
1712091648437,599618677276542630,158
1712091648445,599618677284202648,169
1712091648452,599618677291862666,178
1712091648460,599618677299522684,151
1712091648468,599618677307182702,64
1712091648475,599618677314842720,-25
1712091648483,599618677322502738,-116
1712091648491,599618677330162756,-233
1712091648497,599618677337822774,-290
1712091648505,599618677345482792,-274
1712091648513,599618677353142810,-277
1712091648521,599618677360802828,-277
1712091648529,599618677368462846,-254
1712091648536,599618677376122864,-249
1712091648544,599618677383782882,-242
1712091648552,599618677391442900,-217
1712091648559,599618677399102918,-208
1712091648567,599618677406762936,-199
1712091648575,599618677414422954,-183
1712091648582,599618677422082972,-219
1712091648590,599618677429742990,-265
1712091648598,599618677437403008,-242
1712091648605,599618677445063026,-210
1712091648613,599618677452723044,-208
1712091648621,599618677460383062,-208
1712091648628,599618677468043080,-242
1712091648636,599618677475703098,-274
1712091648644,599618677483363116,-254
1712091648651,599618677491023134,-222
1712091648659,599618677498683152,-199
1712091648667,599618677506343170,-160
1712091648673,599618677514003188,-146
1712091648681,599618677521663206,-187
1712091648689,599618677529323224,-210
1712091648697,599618677536983242,-178
1712091648705,599618677544643260,-144
1712091648713,599618677552303278,-116
1712091648720,599618677559963296,-87
1712091648728,599618677567623314,-77
1712091648736,599618677575283332,-84
1712091648743,599618677582943350,-77
1712091648751,599618677590603368,-87
1712091648759,599618677598263386,-135
1712091648766,599618677605923404,-148
1712091648774,599618677613583422,-114
1712091648782,599618677621243440,-112
1712091648789,599618677628903458,-125
1712091648797,599618677636563476,-93
1712091648805,599618677644223494,-57
1712091648812,599618677651883512,-50
1712091648820,599618677659543530,-64
1712091648828,599618677667203548,-116
1712091648835,599618677674863566,-160
1712091648843,599618677682523584,-121
1712091648851,599618677690183602,-66
1712091648857,599618677697843620,-48
1712091648865,599618677705503638,-43
1712091648873,599618677713163656,-77
1712091648881,599618677720823674,-121
1712091648889,599618677728483692,-91
1712091648897,599618677736143710,-36
1712091648904,599618677743803728,-16
1712091648912,599618677751463746,4
1712091648919,599618677759123764,16
1712091648927,599618677766783782,0
1712091648935,599618677774443800,9
1712091648942,599618677782103818,45
1712091648950,599618677789763836,73
1712091648958,599618677797423854,100
1712091648965,599618677805083872,116
1712091648973,599618677812743890,98
1712091648981,599618677820403908,80
1712091648988,599618677828063926,77
1712091648996,599618677835723944,71
1712091649004,599618677843383962,75
1712091649011,599618677851043980,82
1712091649019,599618677858703998,41
1712091649027,599618677866364016,-18
1712091649033,599618677874024034,-4
1712091649041,599618677881684052,43
1712091649049,599618677889344070,61
1712091649057,599618677897004088,66
1712091649065,599618677904664106,61
1712091649073,599618677912324124,73
1712091649080,599618677919984142,192
1712091649088,599618677927644160,412
1712091649096,599618677935304178,593
1712091649103,599618677942964196,494
1712091649111,599618677950624214,-121
1712091649119,599618677958284232,-659
1712091649126,599618677965944250,-341
1712091649134,599618677973604268,153
1712091649142,599618677981264286,116
1712091649149,599618677988924304,38
1712091649157,599618677996584322,121
1712091649165,599618678004244340,73
1712091649172,599618678011904358,-36
1712091649180,599618678019564376,-22
1712091649188,599618678027224394,6
1712091649195,599618678034884412,-27
1712091649203,599618678042544430,-34
1712091649211,599618678050204448,-25
1712091649217,599618678057864466,-71
1712091649225,599618678065524484,-105
1712091649233,599618678073184502,-64
1712091649241,599618678080844520,-27
1712091649249,599618678088504538,-32
1712091649257,599618678096164556,-38
1712091649264,599618678103824574,-82
1712091649272,599618678111484592,-121
1712091649280,599618678119144610,-73
1712091649287,599618678126804628,-22
1712091649295,599618678134464646,-20
1712091649303,599618678142124664,4
1712091649310,599618678149784682,43
1712091649318,599618678157444700,50
1712091649325,599618678165104718,66
1712091649333,599618678172764736,96
1712091649341,599618678180424754,80
1712091649348,599618678188084772,38
1712091649356,599618678195744790,29
1712091649364,599618678203404808,-4
1712091649371,599618678211064826,-73
1712091649379,599618678218724844,-107
1712091649387,599618678226384862,-139
1712091649393,599618678234044880,-185
1712091649401,599618678241704898,-213
1712091649409,599618678249364916,-265
1712091649417,599618678257024934,-339
1712091649425,599618678264684952,-339
1712091649433,599618678272344970,-302
1712091649440,599618678280004988,-290
1712091649448,599618678287665006,-261
1712091649456,599618678295325024,-229
1712091649463,599618678302985042,-224
1712091649471,599618678310645060,-219
1712091649479,599618678318305078,-199
1712091649486,599618678325965096,-176
1712091649494,599618678333625114,-148
1712091649502,599618678341285132,-123
1712091649509,599618678348945150,-119
1712091649517,599618678356605168,-130
1712091649525,599618678364265186,-132
1712091649532,599618678371925204,-119
1712091649540,599618678379585222,-87
1712091649548,599618678387245240,-61
1712091649555,599618678394905258,-80
1712091649563,599618678402565276,-132
1712091649571,599618678410225294,-139
1712091649577,599618678417885312,-93
1712091649585,599618678425545330,-61
1712091649593,599618678433205348,-41
1712091649601,599618678440865366,-20
1712091649609,599618678448525384,-41
1712091649617,599618678456185402,-82
1712091649624,599618678463845420,-68
1712091649632,599618678471505438,-22
1712091649640,599618678479165456,-2
1712091649647,599618678486825474,4
1712091649655,599618678494485492,-2
1712091649663,599618678502145510,-27
1712091649670,599618678509805528,-20
1712091649678,599618678517465546,16
1712091649686,599618678525125564,34
1712091649693,599618678532785582,36
1712091649701,599618678540445600,2
1712091649708,599618678548105618,-68
1712091649716,599618678555765636,-73
1712091649724,599618678563425654,-11
1712091649731,599618678571085672,13
1712091649739,599618678578745690,25
1712091649747,599618678586405708,16
1712091649753,599618678594065726,-84
1712091649761,599618678601725744,-171
1712091649769,599618678609385762,-169
1712091649777,599618678617045780,-180
1712091649785,599618678624705798,-178
1712091649793,599618678632365816,-130
1712091649800,599618678640025834,-130
1712091649808,599618678647685852,-142
1712091649816,599618678655345870,-96
1712091649823,599618678663005888,-48
1712091649831,599618678670665906,-27
1712091649839,599618678678325924,-6
1712091649846,599618678685985942,0
1712091649854,599618678693645960,-18
1712091649862,599618678701305978,-34
1712091649869,599618678708965996,-13
1712091649877,599618678716626014,13
1712091649885,599618678724286032,13
1712091649892,599618678731946050,13
1712091649900,599618678739606068,32
1712091649908,599618678747266086,54
1712091649915,599618678754926104,80
1712091649923,599618678762586122,96
1712091649931,599618678770246140,89
1712091649937,599618678777906158,68
1712091649945,599618678785566176,22
1712091649953,599618678793226194,-25
1712091649961,599618678800886212,-11
1712091649969,599618678808546230,32
1712091649977,599618678816206248,38
1712091649984,599618678823866266,27
1712091649992,599618678831526284,32
1712091650000,599618678839186302,34
1712091650007,599618678846846320,38
1712091650015,599618678854506338,114
1712091650023,599618678862166356,272
1712091650030,599618678869826374,460
1712091650038,599618678877486392,563
1712091650046,599618678885146410,258
1712091650053,599618678892806428,-460
1712091650061,599618678900466446,-689
1712091650069,599618678908126464,-174
1712091650076,599618678915786482,98
1712091650084,599618678923446500,-27
1712091650091,599618678931106518,4
1712091650099,599618678938766536,73
1712091650107,599618678946426554,0
1712091650113,599618678954086572,-20
1712091650121,599618678961746590,29
1712091650129,599618678969406608,36
1712091650137,599618678977066626,18
1712091650145,599618678984726644,-11
1712091650153,599618678992386662,-27
1712091650160,599618679000046680,0
1712091650168,599618679007706698,22
1712091650176,599618679015366716,32
1712091650183,599618679023026734,59
1712091650191,599618679030686752,73
1712091650199,599618679038346770,66
1712091650206,599618679046006788,54
1712091650214,599618679053666806,29
1712091650222,599618679061326824,16
1712091650229,599618679068986842,2
1712091650237,599618679076646860,-50
1712091650245,599618679084306878,-98
1712091650252,599618679091966896,-84
1712091650260,599618679099626914,-48
1712091650268,599618679107286932,-34
1712091650275,599618679114946950,-59
1712091650283,599618679122606968,-100
1712091650291,599618679130266986,-100
1712091650297,599618679137927004,-73
1712091650305,599618679145587022,-71
1712091650313,599618679153247040,-82
1712091650321,599618679160907058,-87
1712091650329,599618679168567076,-114
1712091650337,599618679176227094,-194
1712091650344,599618679183887112,-306
1712091650352,599618679191547130,-366
1712091650360,599618679199207148,-352
1712091650367,599618679206867166,-306
1712091650375,599618679214527184,-272
1712091650383,599618679222187202,-256
1712091650390,599618679229847220,-251
1712091650398,599618679237507238,-240
1712091650406,599618679245167256,-208
1712091650413,599618679252827274,-180
1712091650421,599618679260487292,-158
1712091650429,599618679268147310,-144
1712091650436,599618679275807328,-180
1712091650444,599618679283467346,-222
1712091650452,599618679291127364,-180
1712091650459,599618679298787382,-121
1712091650467,599618679306447400,-100
1712091650473,599618679314107418,-75
1712091650481,599618679321767436,-61
1712091650489,599618679329427454,-80
1712091650497,599618679337087472,-66
1712091650505,599618679344747490,-20
1712091650513,599618679352407508,9
1712091650520,599618679360067526,25
1712091650528,599618679367727544,32
1712091650536,599618679375387562,16
1712091650543,599618679383047580,20
1712091650551,599618679390707598,54
1712091650559,599618679398367616,80
1712091650566,599618679406027634,91
1712091650574,599618679413687652,98
1712091650582,599618679421347670,77
1712091650589,599618679429007688,34
1712091650597,599618679436667706,0
1712091650605,599618679444327724,-2
1712091650612,599618679451987742,27
