RowIndex,Reason,OriginalLine
86,HeartRate out of range,Row 86 | Timestamp: 1711604685030 ms | PPG(Green=2124672, Red=2124672, Ir=2124672) | ACC(X=6.66065120697021, Y=-0.289801806211472, Z=4.65838432312012) | HR=0 bpm | IBI=0 ms | Participant=P13
87,HeartRate out of range,Row 87 | Timestamp: 1711604685069 ms | PPG(Green=2126246, Red=2126246, Ir=2126246) | ACC(X=6.95284795761108, Y=-0.797553718090057, Z=4.40929841995239) | HR=0 bpm | IBI=0 ms | Participant=P13
88,HeartRate out of range,Row 88 | Timestamp: 1711604685110 ms | PPG(Green=2128189, Red=2128189, Ir=2128189) | ACC(X=6.36845445632935, Y=0.570023357868195, Z=4.8715443611145) | HR=0 bpm | IBI=0 ms | Participant=P13
89,HeartRate out of range,Row 89 | Timestamp: 1711604685150 ms | PPG(Green=2129202, Red=2129202, Ir=2129202) | ACC(X=6.07146739959717, Y=0.0958022475242614, Z=5.22122240066528) | HR=0 bpm | IBI=0 ms | Participant=P13
90,HeartRate out of range,Row 90 | Timestamp: 1711604685190 ms | PPG(Green=2129069, Red=2129069, Ir=2129069) | ACC(X=5.89183807373047, Y=0.814319133758545, Z=4.84280347824097) | HR=0 bpm | IBI=0 ms | Participant=P13
91,HeartRate out of range,Row 91 | Timestamp: 1711604685231 ms | PPG(Green=2126758, Red=2126758, Ir=2126758) | ACC(X=5.47749328613281, Y=0.490986526012421, Z=5.1876916885376) | HR=0 bpm | IBI=0 ms | Participant=P13
92,HeartRate out of range,Row 92 | Timestamp: 1711604685270 ms | PPG(Green=2125494, Red=2125494, Ir=2125494) | ACC(X=4.97213649749756, Y=0.191604495048523, Z=5.78406047821045) | HR=0 bpm | IBI=0 ms | Participant=P13
93,IBI out of range,Row 93 | Timestamp: 1711604685310 ms | PPG(Green=2125522, Red=2125522, Ir=2125522) | ACC(X=4.35181713104248, Y=-1.61905801296234, Z=6.1840353012085) | HR=87 bpm | IBI=0 ms | Participant=P13
94,HeartRate out of range,Row 94 | Timestamp: 1711604685350 ms | PPG(Green=2126144, Red=2126144, Ir=2126144) | ACC(X=3.76502823829651, Y=-1.24782431125641, Z=7.38395833969116) | HR=0 bpm | IBI=0 ms | Participant=P13
95,HeartRate out of range,Row 95 | Timestamp: 1711604685390 ms | PPG(Green=2127087, Red=2127087, Ir=2127087) | ACC(X=4.58174228668213, Y=-1.81784760951996, Z=7.96356201171875) | HR=0 bpm | IBI=0 ms | Participant=P13
