x,y,z,timestamp
-23,-21,56,1712017387562500
-24,-21,55,1712017387593750
-24,-21,55,1712017387625000
-23,-21,56,1712017387656250
-24,-21,55,1712017387687500
-24,-21,55,1712017387718750
-23,-21,56,1712017387750000
-23,-21,55,1712017387781250
-24,-20,55,1712017387812500
-24,-20,56,1712017387843750
-24,-21,56,1712017387875000
-23,-21,55,1712017387906250
-24,-21,56,1712017387937500
-23,-22,56,1712017387968750
-24,-21,55,1712017388000000
-24,-21,56,1712017388031250
-24,-21,56,1712017388062500
-23,-20,56,1712017388093750
-24,-21,56,1712017388125000
-23,-21,56,1712017388156250
-23,-21,56,1712017388187500
-24,-21,55,1712017388218750
-24,-21,56,1712017388250000
-23,-21,56,1712017388281250
-23,-21,56,1712017388312500
-23,-21,55,1712017388343750
-23,-22,55,1712017388375000
-23,-22,55,1712017388406250
-23,-22,55,1712017388437500
-23,-22,55,1712017388468750
-23,-22,55,1712017388500000
-23,-22,55,1712017388531250
-23,-22,55,1712017388562500
-23,-22,55,1712017388593750
-23,-22,55,1712017388625000
-23,-22,55,1712017388656250
-22,-23,55,1712017388687500
-22,-23,55,1712017388718750
-23,-22,55,1712017388750000
-22,-23,55,1712017388781250
-23,-23,55,1712017388812500
-22,-24,55,1712017388843750
-23,-24,54,1712017388875000
-23,-24,55,1712017388906250
-22,-23,55,1712017388937500
-23,-23,55,1712017388968750
-23,-23,55,1712017389000000
-22,-23,55,1712017389031250
-23,-23,55,1712017389062500
-23,-23,54,1712017389093750
-23,-23,55,1712017389125000
-23,-24,55,1712017389156250
-23,-23,55,1712017389187500
-23,-23,55,1712017389218750
-23,-23,55,1712017389250000
-23,-23,55,1712017389281250
-23,-23,55,1712017389312500
-22,-24,55,1712017389343750
-23,-24,54,1712017389375000
-23,-23,54,1712017389406250
-23,-23,55,1712017389437500
-23,-23,55,1712017389468750
-23,-24,55,1712017389500000
-23,-23,54,1712017389531250
-23,-24,55,1712017389562500
-23,-23,55,1712017389593750
-23,-23,55,1712017389625000
-23,-23,55,1712017389656250
-23,-23,55,1712017389687500
-23,-23,55,1712017389718750
-23,-23,55,1712017389750000
-23,-23,54,1712017389781250
-23,-23,54,1712017389812500
-23,-23,55,1712017389843750
-23,-23,55,1712017389875000
-23,-23,54,1712017389906250
-23,-23,55,1712017389937500
-23,-24,55,1712017389968750
-23,-23,55,1712017390000000
-23,-23,54,1712017390031250
-23,-23,55,1712017390062500
-23,-23,54,1712017390093750
-23,-23,55,1712017390125000
-23,-24,55,1712017390156250
-23,-23,54,1712017390187500
-23,-23,55,1712017390218750
-23,-23,55,1712017390250000
-23,-23,55,1712017390281250
-23,-23,55,1712017390312500
-23,-23,55,1712017390343750
-23,-23,55,1712017390375000
-23,-23,54,1712017390406250
-23,-23,55,1712017390437500
-23,-23,55,1712017390468750
-23,-23,55,1712017390500000
-23,-23,55,1712017390531250
-23,-23,55,1712017390562500
-23,-23,55,1712017390593750
-23,-23,54,1712017390625000
-23,-23,55,1712017390656250
-24,-23,55,1712017390687500
-23,-23,55,1712017390718750
-23,-23,55,1712017390750000
-23,-23,55,1712017390781250
-23,-23,55,1712017390812500
-23,-23,55,1712017390843750
-23,-23,55,1712017390875000
-23,-23,55,1712017390906250
-23,-23,55,1712017390937500
-23,-23,54,1712017390968750
-23,-23,55,1712017391000000
-23,-23,55,1712017391031250
-23,-23,55,1712017391062500
-23,-23,55,1712017391093750
-23,-23,55,1712017391125000
-23,-23,55,1712017391156250
-23,-23,55,1712017391187500
-23,-23,54,1712017391218750
-23,-23,55,1712017391250000
-23,-23,55,1712017391281250
-23,-23,55,1712017391312500
-23,-23,55,1712017391343750
-23,-23,55,1712017391375000
-23,-23,54,1712017391406250
-23,-23,55,1712017391437500
-23,-23,55,1712017391468750
-23,-23,55,1712017391500000
-23,-23,55,1712017391531250
-23,-23,55,1712017391562500
-23,-23,55,1712017391593750
-23,-23,55,1712017391625000
-24,-23,55,1712017391656250
-23,-23,55,1712017391687500
-23,-23,55,1712017391718750
-23,-23,55,1712017391750000
-23,-23,55,1712017391781250
-23,-23,55,1712017391812500
-23,-23,55,1712017391843750
